Тип события,ЯНВ,,,,,ФЕВ,,,,МАР,,,,АПР,,,,МАЙ,,,,,ИЮН,,,,ИЮЛ,,,,,АВГ,,,,СЕН,,,,ОКТ,,,,,НОЯ,,,,ДЕК,,,
,2,9,16,23,30,6,13,20,27,6,13,20,27,3,10,17,24,1,8,15,22,29,5,12,19,26,3,10,17,24,31,7,14,21,28,4,11,18,25,2,9,16,23,30,6,13,20,27,4,11,18,25
1,,,,,,,13/02,,,,,,,,,,,,,,,01/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,29/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,06/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,20/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,20/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,20/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,25/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,29/06,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,06/07,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/07,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/08,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,11/04,,,,,,,,,,,,,,,,,,,,,,,20/09,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/09,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/09,,,,,,,,,,,,,
17,,,,,,,16/02,,,,,,,,13/04,18/04,,,,,,,,,,,,,,,,,,,,,,,28/09,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/10,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/10,,,,,,,,,
22,,,,,,,,,01/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/10,,,,,,,,,
24,,,,,,,,,,,,,,,,19/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/10,,,,,,,,
25,,,,,,,,,,,,,,05/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/11,,,,,,,,
26,,,,,,,,,,,,22/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/11,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/11,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/11,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/11,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/11,,,,,,
31,,,,,,,,,,,,,,,12/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/11,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/11,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09,,,,,,,,,,,27/11,,,,
35,,,,,,,,,02/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/09,,,,,,,,,,30/11,,,,
36,,,,,,06/02,,,,,,24/03,,,,,,,,18/05,,,,,,27/06,,,,,,,,,,07/09,,,,,,20/10,,,,,,,12/12,,,